method,task,correct,n,mean_agg_precision,mean_agg_recall,mean_agg_iou,mean_max_precision,mean_mean_precision,mean_any_hit,median_agg_precision,median_agg_recall,median_agg_iou,median_max_precision,median_mean_precision,median_any_hit,mean_agg_precision_diff_correct_minus_incorrect
Pathology-CoT,TCGA_BRCA_subtype,True,65,0.6694630769230768,0.049155384615384615,0.04685230769230769,0.8018030769230768,0.6586074401709402,0.07692307692307693,0.8503,0.0371,0.0371,1.0,0.8048444444444445,0.0,0.08065593406593397
slide_seek,TCGA_BRCA_subtype,False,42,0.4456166666666667,0.03366904761904762,0.026885714285714284,0.8567309523809524,0.47956976290369835,0.11904761904761904,0.35305,0.00625,0.0062,1.0,0.5,0.0,0.0453715686274509
slide_seek,TCGA_BRCA_subtype,True,51,0.4909882352941176,0.04078627450980392,0.02801372549019608,0.8035058823529412,0.48033251565561375,0.058823529411764705,0.4461,0.0097,0.0089,1.0,0.4332,0.0,0.0453715686274509
CPathAgent,TCGA_LUNG_Classification,False,224,0.2865553571428571,0.28367678571428573,0.133790625,0.7077004464285714,0.3243212701372928,0.45982142857142855,0.20745,0.2333,0.112,0.881,0.28551875,0.0,0.042940987504662465
CPathAgent,TCGA_LUNG_Classification,True,383,0.3294963446475196,0.3004130548302872,0.16053420365535248,0.8086558746736292,0.379573699359231,0.5744125326370757,0.2872,0.2593,0.1425,0.9964,0.3573714285714286,1.0,0.042940987504662465
PathAgent,TCGA_LUNG_Classification,False,313,0.4111261980830671,0.07741597444089457,0.06718051118210863,0.7408814696485624,0.411899194612736,0.07348242811501597,0.3694,0.0513,0.0425,1.0,0.34533636363636366,0.0,-0.024603340940209995
PathAgent,TCGA_LUNG_Classification,True,490,0.3865228571428571,0.07695530612244898,0.06450448979591837,0.7276565306122449,0.3882742374183162,0.07551020408163266,0.29895,0.03565,0.031,1.0,0.30162916666666667,0.0,-0.024603340940209995
Pathology-CoT,TCGA_LUNG_Classification,False,168,0.6787583333333334,0.04747738095238095,0.04505238095238095,0.784239880952381,0.6758426261337869,0.13690476190476192,0.9507,0.031,0.031,1.0,0.93764,0.0,0.009317898550724624
Pathology-CoT,TCGA_LUNG_Classification,True,690,0.688076231884058,0.03998405797101449,0.038162028985507246,0.7970100000000001,0.6858605389348976,0.09565217391304348,0.9453,0.0304,0.0298,1.0,0.9453,0.0,0.009317898550724624
slide_seek,TCGA_LUNG_Classification,False,508,0.4483064960629921,0.049801574803149604,0.0338009842519685,0.8131244094488189,0.4802315015575316,0.07283464566929133,0.38775000000000004,0.00895,0.0087,1.0,0.4487333333333333,0.0,0.12223125609839114
slide_seek,TCGA_LUNG_Classification,True,347,0.5705377521613832,0.052990489913544665,0.03834380403458214,0.8583334293948127,0.6018680150517047,0.06051873198847262,0.6045,0.0092,0.0089,1.0,0.6853391304347827,0.0,0.12223125609839114
